id,complaint_text,department,issue_type,locality,duration_text,latitude,longitude,status
C1308,There is a deep Footpath Damage on Dwarka Sector 6 Main Road causing severe traffic congestion.,Roads,Footpath Damage,Dwarka Sector 6,3 days,28.580764,77.062363,Pending
C1645,"Drinking water supply in Vasant Kunj has brown smelly Water Leakage for since last Thursday, health risk to residents.",Water,Water Leakage,Vasant Kunj,since last Thursday,28.527841,77.153554,In Progress
C1729,Pack of aggressive stray dogs causing Stray Animals near City Hospital in Krishna Nagar.,Other,Stray Animals,Krishna Nagar,2 days,28.660979,77.279572,In Progress
C1115,"Massive Dead Animal accumulating near Main Market in Krishna Nagar for 2 days, terrible stench.",Sanitation,Dead Animal,Krishna Nagar,2 days,28.659273,77.278699,Pending
C1483,"Frequent sudden Power Outage in Noida Sector 62 for almost 10 days, appliances getting damaged.",Electrical,Power Outage,Noida Sector 62,almost 10 days,28.626298,77.36675,Resolved
C1842,"Major Water Leakage on the main line near Central Park in Saket, whole sector affected.",Water,Water Leakage,Saket,since last Thursday,28.523407,77.208138,Pending
C1677,Sanitation workers haven't cleared Garbage Dump near Main Market in Connaught Place for past since last Thursday.,Sanitation,Garbage Dump,Connaught Place,since last Thursday,28.631275,77.21522,In Progress
C1798,"Underground sewer line has Gutter Stagnation near Bus Stand in Shahdara, water entering ground floor homes.",Sewage,Gutter Stagnation,Shahdara,for past 4 days,28.673492,77.29008,Pending
C1712,Open drain with Manhole Overflow causing severe mosquito menace in Saket.,Sewage,Manhole Overflow,Saket,since last Thursday,28.525132,77.204764,Resolved
C1819,Cattle wandering on road causing Public Nuisance near Railway Crossing in Mayur Vihar Phase 1.,Other,Public Nuisance,Mayur Vihar Phase 1,since last Thursday,28.608886,77.29721,Pending
C1836,Open drain with Manhole Overflow causing severe mosquito menace in Mayur Vihar Phase 1.,Sewage,Manhole Overflow,Mayur Vihar Phase 1,almost 10 days,28.607514,77.29505,Resolved
C1415,Auto-rickshaws blocking entry with Traffic Signal Down outside Railway Crossing in Shahdara.,Traffic,Traffic Signal Down,Shahdara,2 weeks,28.672644,77.289571,Resolved
C2142,Continuous gridlock and Missing Signboard due to illegal encroaching near Railway Crossing in Noida Sector 62.,Traffic,Missing Signboard,Noida Sector 62,1 week,28.628134,77.363515,Pending
C1724,Illegal waste and Dead Animal dumped openly beside Gate 2 in Connaught Place.,Sanitation,Dead Animal,Connaught Place,since last Thursday,28.63233,77.217784,In Progress
C1489,Large Pothole right in front of Bus Stand in Mayur Vihar Phase 1. Please fix immediately.,Roads,Pothole,Mayur Vihar Phase 1,1 week,28.610318,77.295855,In Progress
C1382,"Street dark and unsafe for women due to Exposed Wire on 3rd Cross, Shahdara for 2 days.",Electrical,Exposed Wire,Shahdara,2 days,28.674456,77.289991,In Progress
C1460,"Street dark and unsafe for women due to Exposed Wire on 3rd Cross, Civil Lines for for past 4 days.",Electrical,Exposed Wire,Civil Lines,for past 4 days,28.676781,77.222947,Pending
C1733,Large Road Damage right in front of Govt Senior Secondary School in Saket. Please fix immediately.,Roads,Road Damage,Saket,2 days,28.523089,77.2048,Pending
C1107,Large Missing Manhole Cover right in front of Central Park in Dwarka Sector 6. Please fix immediately.,Roads,Missing Manhole Cover,Dwarka Sector 6,for past 4 days,28.584296,77.060559,Pending
C2025,"Frequent sudden Power Outage in Pitampura for 1 week, appliances getting damaged.",Electrical,Power Outage,Pitampura,1 week,28.697366,77.138087,Manual Review
C1993,Distribution transformer has Power Outage sparking continuously near City Hospital in Shahdara.,Electrical,Power Outage,Shahdara,48 hours,28.672274,77.2879,Pending
C1928,Public walkway encroached by shops causing Stray Animals in Civil Lines for 3 days.,Other,Stray Animals,Civil Lines,3 days,28.679178,77.222122,Pending
C1671,Illegal temporary stalls and Public Nuisance blocking the walkway in Karol Bagh.,Other,Public Nuisance,Karol Bagh,3 days,28.652689,77.192452,In Progress
C1227,"Urgent repair needed for Footpath Damage near Railway Crossing, road surface completely broken.",Roads,Footpath Damage,Saket,for past 4 days,28.524711,77.207486,In Progress
C1313,Loudspeakers and industrial machinery causing unbearable Encroachment in residential Krishna Nagar for 1 week.,Other,Encroachment,Krishna Nagar,1 week,28.658923,77.280209,Resolved
C1778,Open drain with Sewage Overflow causing severe mosquito menace in Connaught Place.,Sewage,Sewage Overflow,Connaught Place,since Monday,28.63093,77.216005,In Progress
C2082,Uncovered electrical junction box with Power Outage near children's park in Janakpuri Block B.,Electrical,Power Outage,Janakpuri Block B,5 days,28.623327,77.08871,Pending
C1099,Continuous gridlock and Traffic Congestion due to illegal encroaching near Community Center in Noida Sector 62.,Traffic,Traffic Congestion,Noida Sector 62,almost 10 days,28.629781,77.366154,In Progress
C1310,Unauthorized commercial establishment causing Public Nuisance late night in Dwarka Sector 6 for 3 days.,Other,Public Nuisance,Dwarka Sector 6,3 days,28.58039,77.059972,Pending
C1195,"Severe Pipeline Burst observed near Central Park in Indirapuram, clean drinking water being wasted for 5 days.",Water,Pipeline Burst,Indirapuram,5 days,28.641682,77.370685,Pending
C1957,Large Road Damage right in front of Railway Crossing in Krishna Nagar. Please fix immediately.,Roads,Road Damage,Krishna Nagar,2 weeks,28.660822,77.280037,Pending
C1343,"Uncollected garbage and Illegal Dumping rotting in Saket for 1 week, breeding mosquitoes.",Sanitation,Illegal Dumping,Saket,1 week,28.522747,77.205002,Resolved
C2064,"Uncollected garbage and Garbage Dump rotting in Lajpat Nagar for 2 weeks, breeding mosquitoes.",Sanitation,Garbage Dump,Lajpat Nagar,2 weeks,28.569504,77.244306,Pending
C1941,Underground Water Contamination near Govt Senior Secondary School causing street flooding in Karol Bagh.,Water,Water Contamination,Karol Bagh,2 weeks,28.652473,77.189317,Manual Review
C1419,"Dangerous Road Damage near City Hospital in Pitampura for 2 days, multiple bike slips reported.",Roads,Road Damage,Pitampura,2 days,28.697998,77.138226,Resolved
C1627,"Dangerous Pothole near Mother Dairy in Pitampura for 2 weeks, multiple bike slips reported.",Roads,Pothole,Pitampura,2 weeks,28.698334,77.137974,Pending
C1265,"Key traffic junction has Traffic Congestion at Karol Bagh crossing, accidents happening daily.",Traffic,Traffic Congestion,Karol Bagh,48 hours,28.650136,77.190852,Pending
C1880,Distribution transformer has Power Outage sparking continuously near Pillar 45 in Vasant Kunj.,Electrical,Power Outage,Vasant Kunj,2 weeks,28.529889,77.155718,Pending
C1210,"Uncollected garbage and Dead Animal rotting in Civil Lines for since last Thursday, breeding mosquitoes.",Sanitation,Dead Animal,Civil Lines,since last Thursday,28.678964,77.222667,In Progress
C1667,"Massive Dead Animal accumulating near Pillar 45 in Mayur Vihar Phase 1 for almost 10 days, terrible stench.",Sanitation,Dead Animal,Mayur Vihar Phase 1,almost 10 days,28.608837,77.294064,In Progress
C2089,"The road in Saket has an unrepaired Pothole for for past 4 days, vehicles are getting damaged.",Roads,Pothole,Saket,for past 4 days,28.524135,77.205194,Resolved
C1481,Heavy storm caused Tree Fall Hazard blocking the entrance of Krishna Nagar park near Gate 2.,Parks,Tree Fall Hazard,Krishna Nagar,2 weeks,28.658912,77.280675,Resolved
C1293,"Urgent repair needed for Pothole near Metro Station, road surface completely broken.",Roads,Pothole,Civil Lines,for past 4 days,28.678792,77.221598,Pending
C1555,Commercial vehicles and cabs doing Missing Signboard on narrow road in Civil Lines for 1 week.,Traffic,Missing Signboard,Civil Lines,1 week,28.677478,77.224134,Pending
C1311,"Uncollected garbage and Overflowing Bin rotting in Karol Bagh for 5 days, breeding mosquitoes.",Sanitation,Overflowing Bin,Karol Bagh,5 days,28.650724,77.190405,In Progress
C2130,"Heavy rain created a massive Footpath Damage in Dwarka Sector 6, risk of fatal accidents at night.",Roads,Footpath Damage,Dwarka Sector 6,since Monday,28.58063,77.060316,In Progress
C2050,"Uncollected garbage and Dead Animal rotting in Noida Sector 62 for 5 days, breeding mosquitoes.",Sanitation,Dead Animal,Noida Sector 62,5 days,28.627017,77.365309,Manual Review
C1552,"Underground sewer line has Manhole Overflow near Mother Dairy in Vasant Kunj, water entering ground floor homes.",Sewage,Manhole Overflow,Vasant Kunj,2 weeks,28.528892,77.154901,Pending
C1186,Heavy storm caused Overgrown Vegetation blocking the entrance of Mayur Vihar Phase 1 park near City Hospital.,Parks,Overgrown Vegetation,Mayur Vihar Phase 1,for past 4 days,28.608366,77.296057,Pending
C1802,"Severe Low Water Pressure observed near Community Center in Lajpat Nagar, clean drinking water being wasted for almost 10 days.",Water,Low Water Pressure,Lajpat Nagar,almost 10 days,28.565741,77.241686,Pending
C1215,"Key traffic junction has Missing Signboard at Karol Bagh crossing, accidents happening daily.",Traffic,Missing Signboard,Karol Bagh,24 hours,28.65146,77.189125,Pending
C1094,"Urgent repair needed for Road Damage near Police Station, road surface completely broken.",Roads,Road Damage,Connaught Place,for past 4 days,28.633185,77.216457,In Progress
C1351,Missing directional signboard and Traffic Congestion near Railway Crossing in Saket.,Traffic,Traffic Congestion,Saket,almost 10 days,28.525124,77.204864,In Progress
C1189,"Drinking water supply in Krishna Nagar has brown smelly Low Water Pressure for since last Thursday, health risk to residents.",Water,Low Water Pressure,Krishna Nagar,since last Thursday,28.659454,77.279771,Resolved
C1863,Continuous gridlock and Traffic Congestion due to illegal encroaching near Police Station in Rohini Sector 14.,Traffic,Traffic Congestion,Rohini Sector 14,48 hours,28.718834,77.133444,Pending
C1658,Contaminated foul-smelling water coming from taps in Janakpuri Block B for 2 weeks.,Water,Pipeline Burst,Janakpuri Block B,2 weeks,28.621608,77.089191,Pending
C1536,"Heavy rain created a massive Road Damage in Saket, risk of fatal accidents at night.",Roads,Road Damage,Saket,3 days,28.525693,77.206487,In Progress
C1093,"Street light pole has Transformer Fault near City Hospital in Civil Lines, complete darkness for almost 10 days.",Electrical,Transformer Fault,Civil Lines,almost 10 days,28.676996,77.221363,Pending
C1445,Large Footpath Damage right in front of Railway Crossing in Dwarka Sector 6. Please fix immediately.,Roads,Footpath Damage,Dwarka Sector 6,since last Thursday,28.582793,77.060976,Pending
C1069,"Dangerous Pothole near Gate 2 in Rohini Sector 14 for for past 4 days, multiple bike slips reported.",Roads,Pothole,Rohini Sector 14,for past 4 days,28.71661,77.131005,In Progress
C1043,Continuous gridlock and Traffic Congestion due to illegal encroaching near Police Station in Shahdara.,Traffic,Traffic Congestion,Shahdara,1 week,28.672467,77.289349,Pending
C1870,Pack of aggressive stray dogs causing Noise Pollution near Gate 2 in Karol Bagh.,Other,Noise Pollution,Karol Bagh,1 week,28.650133,77.190581,Pending
C1154,"Dangerous Pothole near City Hospital in Dwarka Sector 6 for 5 days, multiple bike slips reported.",Roads,Pothole,Dwarka Sector 6,5 days,28.583357,77.059758,Pending
C1889,Contaminated foul-smelling water coming from taps in Dwarka Sector 6 for for past 4 days.,Water,Pipeline Burst,Dwarka Sector 6,for past 4 days,28.583196,77.061629,Pending
C1563,Dense bushes and Tree Fall Hazard in Saket park haven't been trimmed for 5 days.,Parks,Tree Fall Hazard,Saket,5 days,28.524962,77.208314,Pending
C1386,Illegal temporary stalls and Noise Pollution blocking the walkway in Pitampura.,Other,Noise Pollution,Pitampura,1 week,28.700226,77.137763,Pending
C1276,There is a deep Pothole on Shahdara Main Road causing severe traffic congestion.,Roads,Pothole,Shahdara,2 days,28.674457,77.28785,Resolved
C1905,"Street dark and unsafe for women due to Power Outage on 3rd Cross, Krishna Nagar for 24 hours.",Electrical,Power Outage,Krishna Nagar,24 hours,28.661624,77.278628,Pending
C1020,Missing directional signboard and Traffic Congestion near Metro Station in Noida Sector 62.,Traffic,Traffic Congestion,Noida Sector 62,1 week,28.626899,77.364252,In Progress
C1283,Illegal waste and Garbage Dump dumped openly beside Pillar 45 in Shahdara.,Sanitation,Garbage Dump,Shahdara,almost 10 days,28.674538,77.288463,Resolved
C1412,"Major Water Leakage on the main line near Metro Station in Vasant Kunj, whole sector affected.",Water,Water Leakage,Vasant Kunj,2 weeks,28.53077,77.155421,Resolved
C2095,Public health emergency due to unattended Illegal Dumping near school gate in Krishna Nagar.,Sanitation,Illegal Dumping,Krishna Nagar,since last Thursday,28.66137,77.280334,In Progress
